wage,hours,iq,kww,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
1010,50,104,37,11,15,7,38,1,0,0,0,6,1,9,6,6.917705536
600,40,96,22,11,7,2,29,1,0,1,1,4,3,8,8,6.396929741
596,40,83,36,12,16,17,34,1,0,0,0,3,3,8,8,6.390240669
850,44,115,37,12,11,1,29,1,0,0,1,3,2,,,6.745236397
670,40,88,27,12,9,2,29,1,0,0,1,7,3,10,8,6.507277489
793,40,96,43,12,17,18,36,1,0,0,0,4,5,8,8,6.675823212
1442,40,123,42,17,14,7,38,1,0,1,0,2,3,12,6,7.273786545
670,50,108,43,12,14,8,34,1,0,1,1,5,1,11,7,6.507277489
876,45,116,35,16,10,8,29,1,0,0,1,2,1,12,12,6.775366306
841,40,109,45,18,13,2,36,1,0,0,0,3,4,16,12,6.734591484
975,40,97,39,13,8,0,31,1,0,0,1,3,1,12,12,6.882437706
1223,40,107,34,12,7,3,28,1,0,0,0,1,1,12,10,7.109062195
910,30,95,27,12,16,5,35,1,0,1,1,2,3,12,14,6.813444614
533,45,109,31,15,8,2,30,1,0,0,1,2,2,15,12,6.278521538
750,40,104,36,12,15,11,33,1,0,0,0,0,1,12,12,6.620073318
1206,40,110,37,12,16,4,38,1,0,0,1,1,1,12,12,7.095064163
745,40,94,40,13,17,1,36,0,0,0,0,2,3,13,8,6.613384247
900,40,103,38,12,15,1,37,1,0,1,0,3,3,8,6,6.802394867
1170,47,123,45,14,9,14,32,1,0,0,1,3,4,8,12,7.064759254
540,50,113,33,12,12,3,31,1,0,0,0,5,4,6,12,6.291569233
550,40,110,35,16,15,1,38,1,0,0,0,2,1,,,6.309918404
615,40,100,31,14,9,4,30,1,0,0,0,3,3,12,12,6.421622276
909,40,95,39,13,6,2,31,1,0,0,1,2,1,12,12,6.812345028
769,40,100,34,12,18,12,36,1,0,0,0,1,2,8,8,6.645091057
984,40,108,39,13,17,18,37,1,0,0,1,4,1,15,8,6.891625881
833,60,101,47,12,15,12,37,1,0,0,1,5,2,12,,6.72503376
879,70,90,43,12,17,10,35,0,0,0,1,1,2,12,16,6.778784752
1027,45,115,41,12,16,7,35,1,0,0,1,4,3,8,5,6.934397221
1000,55,114,41,16,10,1,33,1,0,1,0,0,1,,,6.907755375
465,43,84,33,13,10,1,29,1,0,0,1,3,3,11,11,6.142037392
1100,40,92,37,13,21,12,38,1,1,0,1,6,6,12,,7.003065586
641,45,125,44,14,9,0,37,1,0,0,1,1,1,12,11,6.463029385
1035,48,107,42,12,21,14,38,1,0,0,1,1,2,11,8,6.942156792
1212,40,129,33,14,9,3,32,0,0,0,1,6,7,8,9,7.100027084
950,40,98,40,12,11,6,30,1,0,0,1,3,4,12,12,6.856462002
938,44,108,41,12,19,20,38,1,0,0,1,0,1,8,,6.84375
1250,40,114,37,16,8,8,30,1,0,0,1,5,3,2,8,7.130898952
586,60,111,37,18,6,10,34,1,0,0,0,3,1,12,11,6.373319626
693,53,101,29,12,7,6,28,1,0,0,0,1,2,12,12,6.54102993
562,40,99,25,12,18,12,34,0,0,0,0,1,1,12,12,6.331501961
375,60,75,24,12,12,5,30,0,0,0,0,4,1,12,8,5.926926136
673,40,91,29,12,7,11,38,1,0,0,0,0,1,6,,6.511745453
654,50,113,38,17,1,13,33,1,0,0,0,1,1,12,10,6.483107567
692,50,120,34,12,17,7,35,1,0,0,0,3,4,8,,6.539586067
1111,40,98,32,14,10,1,29,1,0,0,1,3,1,12,15,7.013015747
1368,45,107,31,16,11,1,33,1,0,1,1,2,2,16,16,7.221105099
1282,45,121,39,18,7,13,32,1,0,0,1,2,2,12,12,7.156176567
1250,60,115,40,11,19,4,38,1,0,0,1,1,2,,,7.130898952
1346,40,134,42,15,15,7,35,1,0,0,1,2,1,12,10,7.204892635
1424,50,96,47,17,15,12,37,1,0,0,1,2,3,,,7.261225224
854,48,120,38,16,8,5,29,0,0,0,1,2,3,12,16,6.749931335
888,50,105,36,15,9,5,32,0,0,0,1,2,2,12,10,6.788971901
1161,50,121,40,12,5,10,34,1,0,0,1,5,6,10,,7.057036877
583,58,113,29,16,9,0,30,1,0,0,1,2,2,12,9,6.368186951
1260,45,106,37,12,5,3,29,1,0,0,1,2,1,12,13,7.138866901
947,48,104,41,18,8,13,35,1,0,0,0,3,2,9,12,6.853299141
1850,40,80,23,11,14,15,33,1,0,0,1,3,,10,10,7.522941113
1575,40,117,28,12,13,2,30,1,0,0,1,3,3,10,10,7.362010479
758,38,126,42,16,10,8,28,0,0,0,1,2,2,12,12,6.630683422
1442,40,112,42,12,19,15,36,1,0,0,1,3,2,10,8,7.273786545
489,55,104,47,13,20,4,38,1,0,1,1,2,2,,,6.192362309
1126,40,116,33,12,5,0,31,1,1,0,1,9,5,9,10,7.026426792
1000,40,70,18,12,12,5,32,0,1,0,1,6,,8,8,6.907755375
500,70,83,20,12,13,11,32,1,0,0,1,5,1,6,6,6.214608192
1200,50,84,13,12,13,9,32,1,0,0,1,5,2,6,6,7.090076923
565,45,82,30,10,15,3,33,1,0,0,0,4,4,,,6.336825848
1920,40,109,32,12,13,2,31,1,0,0,0,0,1,12,8,7.560080528
684,45,111,25,14,7,7,29,1,0,0,1,4,1,12,12,6.527957916
774,40,94,33,12,20,4,37,1,0,0,0,1,1,12,7,6.651571751
233,60,96,32,16,7,4,30,1,0,0,0,3,,12,8,5.451038361
975,40,101,33,13,12,10,30,1,0,0,0,3,3,12,13,6.882437706
1366,40,90,35,12,13,1,30,1,0,0,1,3,3,12,12,7.219642162
2137,40,120,48,16,16,3,37,1,0,1,1,3,3,12,12,7.667158127
700,40,120,38,16,10,1,29,1,0,1,1,1,1,12,12,6.551080227
1200,40,108,29,12,16,11,33,1,0,0,1,3,2,8,,7.090076923
1161,40,99,43,13,16,18,36,1,0,0,1,0,1,12,8,7.057036877
729,60,80,31,11,16,15,34,1,0,0,1,6,1,12,6,6.591673851
750,45,93,45,11,17,2,36,1,0,0,1,1,2,10,5,6.620073318
1026,45,85,46,12,4,16,38,1,0,0,1,1,2,,,6.933423042
1111,45,118,43,15,11,3,32,1,0,0,1,3,1,11,10,7.013015747
625,50,115,31,12,12,8,31,1,0,0,1,2,3,12,,6.43775177
1200,42,119,28,16,11,5,30,1,0,0,1,5,1,10,11,7.090076923
1541,40,94,39,12,8,1,32,1,0,0,1,8,3,12,11,7.340187073
1154,40,109,42,16,12,9,34,1,0,0,1,0,1,13,16,7.050989628
310,40,104,37,13,10,0,33,0,0,0,0,2,1,14,8,5.736572266
610,50,89,21,12,14,4,30,1,0,0,0,1,2,7,6,6.413458824
1749,43,101,28,12,16,17,36,1,0,0,0,2,2,12,8,7.466799259
1000,40,96,34,16,9,1,31,0,0,1,1,4,2,12,7,6.907755375
350,40,109,48,12,14,1,36,1,0,0,0,1,1,9,7,5.857933044
765,45,94,38,12,17,18,37,1,0,0,0,10,6,4,6,6.639875889
790,40,115,34,12,15,2,34,1,0,0,0,6,5,6,5,6.672032833
818,47,92,41,12,16,17,38,1,0,0,0,12,1,8,4,6.70686245
477,60,71,32,9,12,1,30,1,0,0,0,4,2,11,5,6.167516708
938,50,130,39,14,15,1,33,1,0,0,0,3,1,12,11,6.84375
2099,55,119,38,16,10,4,32,1,0,0,1,0,1,12,12,7.649216175
350,40,74,24,12,14,3,32,1,0,0,1,4,2,10,13,5.857933044
940,48,104,25,12,13,0,32,1,1,0,1,7,2,12,8,6.845880032
1202,40,124,23,15,11,8,28,1,0,0,1,2,2,10,,7.091742039
450,40,94,29,15,9,4,31,1,0,0,0,1,1,12,,6.109247684
1058,40,120,44,16,16,13,37,1,0,0,0,5,4,12,4,6.964135647
1000,40,96,40,11,15,15,37,1,0,0,1,5,5,8,9,6.907755375
318,40,67,35,12,16,5,36,1,1,1,1,6,,7,5,5.762051582
556,40,69,26,11,13,9,34,0,1,0,1,3,,8,8,6.320768356
958,60,98,42,12,11,9,28,1,0,0,1,0,1,12,11,6.86484766
995,40,92,23,9,22,13,38,1,1,0,1,7,3,7,4,6.902742863
1600,50,109,44,14,16,5,33,1,0,0,0,2,,9,10,7.37775898
606,45,100,39,18,6,5,30,0,0,0,0,1,,12,12,6.406879902
511,45,101,25,12,13,1,30,1,0,0,1,4,2,11,12,6.23636961
1411,45,111,40,16,11,12,32,1,0,1,1,1,1,12,9,7.252053738
1346,40,106,38,16,15,11,37,1,0,0,1,1,1,8,14,7.204892635
1522,46,102,37,12,15,16,37,1,0,0,0,3,2,12,10,7.327780724
1075,40,115,28,14,9,10,30,1,0,0,0,2,1,12,10,6.980075836
1200,50,99,37,12,11,11,28,1,0,0,1,5,4,10,8,7.090076923
1377,37,118,48,16,15,1,36,1,0,0,1,2,2,11,10,7.227662563
874,55,132,37,13,8,2,33,1,0,0,0,2,1,13,16,6.773080349
625,40,108,26,13,11,9,30,1,0,0,1,3,,12,16,6.43775177
1250,32,98,40,12,17,2,33,1,0,0,1,0,1,14,10,7.130898952
1082,40,111,44,13,20,12,36,1,0,0,1,4,2,8,11,6.986566544
693,40,79,36,11,18,3,38,1,0,0,0,3,2,8,8,6.54102993
727,55,97,29,12,11,11,31,1,0,0,0,3,1,12,11,6.588926315
615,50,99,49,15,16,15,38,1,0,0,0,2,3,12,14,6.421622276
913,40,101,33,16,5,7,31,1,0,0,1,2,3,12,,6.816735744
884,46,120,45,17,4,10,36,1,0,0,0,2,1,12,18,6.784457207
698,43,97,33,12,10,4,29,1,0,0,1,2,3,8,8,6.548219204
800,55,106,34,12,17,18,36,1,0,0,0,3,3,8,12,6.684611797
812,40,131,44,16,9,3,30,0,0,0,0,1,1,12,12,6.699500561
1000,40,93,32,11,16,14,34,1,0,0,1,1,,12,8,6.907755375
549,49,79,23,12,11,3,32,0,0,0,0,4,2,8,8,6.308098316
1300,35,100,38,12,13,15,31,1,0,0,1,4,2,11,,7.170119762
923,50,107,30,16,9,8,33,1,0,0,1,6,4,9,8,6.827629089
1539,40,112,42,12,15,15,32,1,0,0,0,3,1,,10,7.338888168
721,40,105,22,12,11,9,30,1,0,0,0,3,2,12,10,6.580639362
815,40,114,25,12,15,14,31,1,0,0,0,2,1,12,10,6.703187943
600,80,116,36,12,20,2,38,1,0,0,0,10,10,8,,6.396929741
1100,40,104,41,12,18,7,37,1,0,0,1,2,3,11,13,7.003065586
1058,40,85,48,12,18,19,35,1,0,0,1,2,1,9,12,6.964135647
962,40,93,46,12,15,1,30,1,0,0,1,2,2,9,12,6.869014263
433,50,100,40,12,5,9,37,1,0,0,0,2,2,8,7,6.070737839
940,40,71,20,11,9,2,29,1,0,0,0,2,3,,,6.845880032
1417,38,88,36,16,9,10,32,0,0,0,1,2,1,12,12,7.256297112
1000,65,93,32,12,11,9,29,1,0,0,1,7,1,12,8,6.907755375
500,40,98,26,13,14,5,32,1,0,0,0,3,4,12,8,6.214608192
800,50,110,35,14,8,5,28,1,0,0,1,3,4,12,10,6.684611797
766,40,109,31,12,17,18,35,1,0,0,0,4,3,,6,6.641181946
750,43,94,38,14,12,10,33,1,0,0,0,1,1,11,12,6.620073318
550,40,77,36,12,15,2,37,1,0,0,0,6,3,8,8,6.309918404
795,52,89,35,11,16,4,34,1,0,0,1,6,1,,,6.678342342
723,40,102,44,12,12,10,30,1,0,0,1,10,6,12,6,6.583409309
1039,40,113,49,14,12,8,34,1,0,0,1,1,2,16,14,6.946013927
200,55,103,38,10,11,15,32,1,0,1,1,3,2,12,5,5.298317432
400,40,90,36,10,12,1,32,1,1,0,1,5,3,8,,5.991464615
575,40,96,31,11,17,1,35,1,0,1,1,2,1,12,7,6.354370117
850,40,97,35,11,16,5,37,1,0,1,1,1,1,12,6,6.745236397
508,50,87,35,12,16,1,32,1,1,1,1,2,1,10,,6.230481625
1162,45,89,39,12,11,4,37,1,0,1,1,3,3,15,,7.057898045
1199,43,70,28,13,13,5,30,1,1,1,1,3,1,8,,7.089242935
1270,40,104,34,16,8,4,31,1,0,1,1,3,4,16,17,7.146772385
350,45,116,36,16,5,3,33,1,0,1,1,2,2,11,12,5.857933044
963,40,85,32,14,9,9,28,1,1,1,1,5,1,7,,6.870053291
1463,45,104,47,15,14,11,37,1,0,1,1,3,4,12,12,7.288244247
802,40,99,26,12,13,12,29,1,1,1,1,8,6,9,12,6.687108517
642,45,93,18,12,12,7,30,1,1,1,1,1,2,6,6,6.464588165
751,40,114,37,13,9,2,28,1,0,1,1,2,2,12,10,6.621405602
488,40,103,40,17,5,3,31,1,0,1,1,1,,12,16,6.190315247
1400,40,92,34,12,15,5,36,1,0,1,1,2,1,6,2,7.244227409
940,45,98,41,18,10,7,31,1,0,1,1,2,2,8,12,6.845880032
866,40,114,48,13,15,16,37,1,0,1,1,3,1,12,,6.763885021
675,40,77,42,12,20,4,38,1,1,1,1,5,2,12,6,6.514712811
375,40,89,24,14,9,3,30,1,1,1,1,3,1,13,,5.926926136
325,40,93,44,14,10,1,33,1,1,1,1,1,,16,,5.783825397
346,40,110,37,12,16,17,38,1,0,1,1,2,,12,5,5.846438885
1442,40,132,39,17,8,1,33,1,0,1,1,3,1,8,12,7.273786545
560,49,112,37,16,13,2,32,1,0,1,0,3,1,8,2,6.327936649
550,56,99,42,12,17,11,36,1,0,1,1,1,2,12,12,6.309918404
950,44,96,26,16,8,10,32,1,1,1,1,1,2,10,,6.856462002
684,45,106,45,13,16,2,38,1,0,1,1,1,1,12,14,6.527957916
1322,40,128,43,16,7,1,33,1,0,1,1,0,1,18,,7.186901093
1634,40,95,48,12,18,3,38,1,0,1,1,3,3,,3,7.398786068
417,40,80,30,12,8,0,30,0,0,1,1,3,4,8,7,6.0330863
472,45,71,24,11,9,0,32,1,0,1,1,13,6,6,6,6.156979084
666,50,89,28,12,16,1,34,1,1,1,1,6,1,9,,6.501289845
1679,55,127,45,18,10,3,32,1,0,1,1,1,2,12,16,7.425953865
1039,40,114,43,16,1,9,31,0,0,1,1,6,5,8,8,6.946013927
1250,40,102,30,13,13,11,30,1,0,1,1,5,6,7,,7.130898952
760,40,88,34,12,12,15,31,1,0,1,1,2,1,12,7,6.633318424
1154,42,88,32,12,14,12,29,1,0,1,1,2,2,12,7,7.050989628
1602,60,110,45,15,14,1,37,1,0,0,1,5,1,14,12,7.379008293
1442,40,110,40,13,13,13,29,1,1,1,1,1,2,7,9,7.273786545
865,40,130,39,16,5,3,30,1,0,0,1,4,2,8,12,6.762729645
705,50,100,44,12,15,12,36,1,0,1,1,1,2,,,6.558197975
1000,40,101,36,12,16,1,35,1,0,1,1,1,1,12,,6.907755375
852,44,89,36,10,13,9,32,1,0,1,1,6,7,9,,6.747586727
770,40,80,25,12,16,14,35,1,0,0,1,1,2,12,12,6.646390438
1000,40,72,20,12,16,9,34,1,0,0,1,3,4,12,12,6.907755375
1329,55,115,56,18,10,5,36,1,0,0,1,1,1,12,12,7.192182064
1682,40,115,48,16,10,4,37,1,0,1,1,1,2,12,17,7.427738667
577,55,108,47,16,4,0,31,1,1,1,1,2,2,8,8,6.357842445
685,40,93,27,12,17,7,38,0,0,1,1,6,6,8,3,6.529418945
577,40,111,37,16,8,8,29,0,1,1,1,1,1,18,18,6.357842445
1040,40,101,38,12,19,9,38,1,1,1,1,6,1,11,12,6.946976185
1250,40,92,42,16,10,11,32,0,0,1,1,1,1,12,10,7.130898952
600,40,115,40,13,7,7,28,0,0,1,1,4,5,5,,6.396929741
480,40,76,29,12,17,3,35,0,1,1,1,8,5,11,10,6.173786163
1000,40,93,26,11,11,0,29,1,0,1,1,5,3,12,12,6.907755375
988,48,91,39,12,15,15,36,1,0,1,1,1,2,8,8,6.895682812
478,45,90,35,10,19,10,34,1,0,1,1,2,1,9,9,6.1696105
440,40,84,23,12,11,2,30,1,1,1,1,5,3,9,4,6.086774826
485,40,120,43,12,11,1,30,1,1,1,1,6,6,,,6.184148788
705,40,89,32,9,19,0,36,1,1,1,1,0,1,,,6.558197975
1550,40,104,47,12,16,1,34,1,0,1,0,8,4,9,10,7.346010208
960,40,107,23,12,11,9,29,1,1,1,1,11,2,6,9,6.866933346
1000,40,100,42,12,16,14,32,1,0,1,1,2,3,12,12,6.907755375
625,40,129,40,18,4,5,36,1,0,1,0,3,1,15,15,6.43775177
1346,40,112,39,16,14,14,35,1,0,0,1,0,1,12,16,7.204892635
961,40,76,17,12,13,13,31,0,1,0,1,13,5,,8,6.867974281
479,40,97,45,12,15,1,38,1,0,1,0,3,4,,,6.171700478
1201,50,98,38,11,17,16,36,1,0,1,0,4,5,11,2,7.090909958
1346,45,60,34,16,8,2,31,1,0,1,1,2,3,,,7.204892635
1122,35,132,45,18,13,8,32,1,0,1,1,2,3,12,7,7.022868156
543,45,90,31,14,5,7,38,1,1,1,1,1,2,6,,6.297109127
450,40,63,26,11,12,4,31,1,1,1,1,7,2,7,,6.109247684
507,55,110,36,14,10,4,32,1,0,1,1,2,2,13,16,6.228510857
547,60,88,38,11,17,5,34,1,0,1,1,4,5,,,6.304448605
586,56,98,41,11,18,16,35,1,0,1,1,2,2,,6,6.373319626
462,55,61,24,12,6,4,29,1,1,1,0,9,,8,3,6.135564804
705,40,76,32,12,13,8,37,1,1,0,1,5,,,,6.558197975
1566,40,127,44,12,7,1,29,1,0,0,1,3,2,11,,7.35627985
1634,40,94,39,13,18,18,36,1,0,1,1,2,2,8,8,7.398786068
1282,45,97,48,16,4,1,32,1,0,0,1,11,3,16,16,7.156176567
556,40,127,44,16,6,2,31,1,1,1,1,2,1,12,12,6.320768356
1200,40,109,42,15,7,8,33,1,0,0,1,2,1,11,12,7.090076923
855,45,89,21,12,6,6,31,1,0,1,0,4,3,3,3,6.751101494
1053,40,90,33,12,18,7,37,1,0,1,0,1,1,11,11,6.959398746
1000,48,105,39,12,11,4,28,1,0,1,0,0,1,12,7,6.907755375
900,55,100,27,12,18,5,34,0,0,0,1,2,2,8,,6.802394867
1602,45,111,40,16,10,10,31,1,0,1,0,1,,16,12,7.379008293
508,50,125,44,17,9,2,31,1,0,1,1,3,1,16,13,6.230481625
1500,60,124,20,16,6,6,29,1,0,1,0,2,,12,10,7.313220501
1682,50,107,41,14,15,9,32,1,0,1,1,0,1,12,12,7.427738667
750,40,110,45,13,13,1,35,1,0,1,1,2,,12,16,6.620073318
843,40,102,32,14,8,7,29,1,0,1,0,1,1,16,16,6.736967087
409,40,93,26,12,17,18,38,0,0,1,0,0,1,,,6.013715267
1004,40,81,36,12,17,15,34,1,0,1,0,1,1,12,,6.911747456
650,40,99,36,12,13,10,30,1,0,1,0,1,2,12,10,6.47697258
808,40,93,26,12,17,9,37,1,1,1,0,4,1,,,6.694561958
2137,45,102,35,13,8,2,30,1,0,1,0,0,1,12,12,7.667158127
761,48,95,44,12,14,21,38,1,0,1,1,1,1,12,5,6.634633541
769,40,98,37,16,8,3,35,0,0,1,1,0,1,11,8,6.645091057
345,40,84,28,12,7,8,31,1,1,1,1,2,2,,,5.843544483
495,40,88,30,12,6,10,31,1,0,1,1,2,1,,7,6.204557896
987,38,109,41,16,9,3,31,1,0,1,1,3,4,4,,6.89467001
2500,60,82,41,12,21,1,38,1,0,1,0,3,3,8,5,7.824046135
1098,45,105,22,14,6,1,32,0,0,1,1,1,2,12,,7.001245499
1212,40,95,36,12,6,16,38,1,0,1,0,3,1,12,8,7.100027084
577,40,92,33,15,8,1,28,1,1,1,1,1,2,10,7,6.357842445
390,59,74,26,15,10,3,30,1,1,1,1,3,3,7,6,5.966146946
1500,40,123,43,16,9,12,32,1,0,1,1,1,1,12,14,7.313220501
583,80,86,24,12,9,1,30,1,0,1,1,2,2,12,12,6.368186951
460,40,92,22,11,16,1,36,1,0,1,1,5,6,,,6.13122654
945,40,87,41,12,12,13,38,1,0,1,1,2,2,8,,6.851184845
1442,60,117,39,16,9,3,31,1,0,1,1,1,2,12,10,7.273786545
1333,45,112,50,16,14,8,38,1,0,1,1,1,2,12,4,7.195187092
1500,37,119,41,15,8,5,33,0,0,0,1,1,1,12,18,7.313220501
1333,45,103,30,16,7,1,34,1,0,0,1,3,1,,,7.195187092
700,40,74,29,12,16,4,36,1,1,1,1,3,,9,,6.551080227
973,36,81,33,13,11,5,32,1,0,1,1,0,1,6,9,6.880383968
2162,40,124,48,18,10,8,32,1,0,1,1,1,1,10,10,7.678789139
797,41,89,38,12,10,7,36,1,0,1,0,1,2,7,8,6.680854797
400,40,88,34,12,14,1,32,1,1,1,1,7,7,7,6,5.991464615
1015,40,67,31,12,15,11,32,1,1,0,1,3,2,9,5,6.922643661
1744,43,106,41,16,8,9,29,1,0,1,1,1,1,12,16,7.463936806
630,40,103,30,15,14,2,32,1,0,1,0,0,1,11,5,6.445719719
445,40,91,40,12,11,4,32,1,0,1,0,0,1,6,8,6.098074436
660,42,101,34,16,12,9,31,1,0,1,1,0,1,12,12,6.492239952
779,40,85,30,12,14,7,37,1,1,1,1,7,4,12,,6.65801096
377,40,83,32,12,9,1,36,0,0,1,1,1,1,12,12,5.932245255
560,44,70,34,12,16,11,35,1,1,1,1,2,1,8,,6.327936649
1122,60,102,54,17,7,13,32,1,0,1,1,2,2,12,11,7.022868156
453,50,94,34,12,9,2,30,1,0,1,0,6,4,7,7,6.115891933
1386,40,97,38,10,17,9,37,1,0,1,1,1,2,12,8,7.234177113
1539,40,115,38,17,7,9,31,1,0,1,1,2,1,12,16,7.338888168
1154,40,117,38,16,11,12,35,1,0,1,1,5,5,17,18,7.050989628
962,50,105,45,14,15,2,37,1,0,1,1,3,4,8,4,6.869014263
722,55,113,36,16,8,1,38,0,0,1,1,1,2,8,,6.582025051
480,40,83,37,12,9,3,37,1,0,1,1,4,3,10,11,6.173786163
808,50,101,44,18,8,9,38,1,0,1,0,3,2,17,12,6.694561958
1442,40,113,36,13,14,8,36,1,0,1,1,2,1,12,12,7.273786545
1091,50,88,31,13,13,4,37,1,0,0,1,4,1,12,,6.994850159
350,40,93,41,12,16,0,33,0,1,1,1,1,1,12,,5.857933044
500,40,83,39,12,18,11,36,1,1,1,1,0,1,7,,6.214608192
1026,45,113,27,16,9,13,30,1,0,1,1,2,2,16,14,6.933423042
577,40,106,43,17,11,7,33,0,1,1,1,3,2,13,16,6.357842445
1333,60,106,38,15,5,1,30,1,0,1,1,2,2,12,12,7.195187092
915,55,114,36,12,17,9,37,1,0,0,1,1,,10,,6.81892395
1105,40,119,32,16,9,10,30,0,0,1,1,5,1,11,10,7.007600784
910,40,82,26,14,5,5,30,1,1,1,1,10,,9,3,6.813444614
1000,40,89,40,12,17,8,38,1,0,1,1,7,7,1,4,6.907755375
1160,40,74,18,12,14,1,33,1,1,1,1,9,6,3,4,7.056175232
1001,34,77,22,12,12,3,29,1,1,1,1,9,8,3,4,6.908754826
713,40,75,25,12,5,12,36,1,1,1,1,7,4,,,6.569481373
929,40,97,28,13,12,5,30,1,0,1,1,2,1,12,12,6.834108829
400,50,68,35,12,4,9,31,1,1,1,1,6,1,6,2,5.991464615
1241,40,83,51,13,9,10,33,1,0,1,1,2,3,12,12,7.123672962
1065,40,97,40,12,21,10,36,1,0,1,1,1,1,12,,6.970730305
403,45,98,37,12,5,3,30,1,0,1,1,2,,12,12,5.998936653
940,45,102,30,13,15,12,30,1,1,1,1,2,2,,,6.845880032
812,40,81,20,10,17,13,34,1,1,1,1,2,2,8,3,6.699500561
700,20,85,27,10,13,0,35,1,1,1,1,3,,6,10,6.551080227
575,40,86,20,10,12,6,33,1,1,1,1,8,,,,6.354370117
450,40,79,23,10,20,5,36,1,1,1,1,7,6,12,12,6.109247684
621,43,84,24,12,14,10,31,1,0,1,0,4,3,8,6,6.431331158
441,38,74,24,12,12,11,30,1,0,1,0,4,4,8,6,6.089045048
625,40,92,25,16,6,9,33,1,1,1,0,11,1,,,6.43775177
726,45,93,32,12,16,5,36,1,0,1,0,5,2,6,,6.587550163
500,40,69,18,9,21,13,38,1,1,1,1,8,6,6,,6.214608192
1000,44,113,41,17,8,2,34,1,0,1,1,4,1,17,18,6.907755375
393,48,92,37,12,15,16,38,1,0,1,1,1,1,8,7,5.973809719
600,40,127,44,12,8,3,28,0,0,1,0,2,2,9,12,6.396929741
962,50,109,44,12,21,12,37,1,0,1,0,0,1,6,,6.869014263
962,40,97,42,12,15,4,34,1,0,1,0,5,1,10,8,6.869014263
865,40,66,30,11,10,7,30,1,0,0,1,14,4,0,10,6.762729645
1154,50,109,46,16,10,3,35,1,0,1,1,2,1,16,14,7.050989628
1386,42,109,43,16,10,11,34,1,0,1,0,1,1,4,14,7.234177113
732,40,104,36,12,10,7,36,1,0,1,1,1,2,,,6.595780373
865,40,85,44,13,4,9,34,1,0,1,1,3,3,8,8,6.762729645
700,40,81,26,12,13,13,31,1,0,1,0,5,6,8,4,6.551080227
975,40,87,12,9,20,10,37,1,0,1,0,3,,5,4,6.882437706
1300,40,78,40,13,12,3,33,1,0,1,1,2,3,12,12,7.170119762
900,40,54,37,14,12,3,31,1,0,1,1,2,1,12,12,6.802394867
829,40,98,33,12,15,15,36,1,0,0,1,4,5,8,8,6.720220089
1000,40,98,34,12,17,13,36,1,0,1,1,3,,12,,6.907755375
827,40,105,29,16,7,8,30,1,0,0,1,2,1,16,12,6.717804909
500,44,87,25,13,5,2,31,1,0,1,1,7,,12,,6.214608192
1155,40,117,25,13,9,1,28,1,0,0,1,3,2,12,12,7.051855564
950,55,85,30,15,8,3,29,0,0,0,1,2,,12,12,6.856462002
700,40,82,35,13,10,4,30,1,0,0,1,4,5,8,,6.551080227
1710,45,114,39,18,7,6,32,1,0,0,1,1,1,12,,7.444248676
533,30,65,21,12,5,1,32,0,1,0,1,5,1,11,12,6.278521538
2004,48,105,48,18,10,0,34,1,0,0,1,2,1,12,12,7.602900505
890,60,92,20,14,9,8,32,1,0,0,1,1,2,7,7,6.791221619
3078,30,107,23,13,11,4,29,1,0,0,1,2,2,12,12,8.032034874
1539,40,111,41,17,10,13,37,1,0,0,1,3,2,12,16,7.338888168
508,40,73,38,12,1,1,31,1,1,0,1,1,,,,6.230481625
1354,40,119,49,17,13,9,35,0,0,0,0,2,1,16,16,7.210818291
1143,35,97,40,12,21,8,38,1,0,0,1,5,1,12,12,7.041411877
962,40,110,34,12,16,8,33,1,0,0,1,2,1,10,10,6.869014263
1250,44,96,32,12,19,20,38,1,0,0,1,2,1,12,12,7.130898952
990,40,67,23,12,16,3,34,1,1,0,1,2,1,8,8,6.897705078
905,40,102,31,12,17,4,37,1,0,0,0,5,5,12,12,6.807934761
926,55,64,22,12,18,0,38,1,0,0,1,4,5,0,2,6.830874443
1559,40,103,32,12,17,10,34,1,0,0,1,3,4,8,8,7.351799965
1312,40,118,39,10,14,4,32,1,0,0,1,0,1,12,8,7.179307938
923,40,118,36,14,8,16,35,1,1,0,1,5,1,7,,6.827629089
879,40,118,41,18,1,9,31,1,0,0,1,1,2,13,13,6.778784752
800,25,75,37,13,14,1,38,1,0,1,1,0,1,12,10,6.684611797
1049,50,112,45,14,6,10,32,1,0,0,0,3,3,12,10,6.955592632
550,40,95,20,12,4,1,30,0,0,0,0,3,4,12,10,6.309918404
1190,40,119,38,17,4,2,34,1,0,0,1,0,1,12,14,7.081708431
583,48,94,35,14,10,6,37,1,0,0,0,2,1,12,12,6.368186951
1200,40,103,27,14,5,2,30,1,0,0,1,1,1,6,7,7.090076923
797,55,90,36,16,11,5,33,1,0,0,1,5,2,14,17,6.680854797
1371,40,128,50,18,8,13,36,1,0,0,0,1,2,16,12,7.223295689
360,55,110,44,13,11,1,38,0,1,0,1,4,,12,8,5.886104107
1270,40,84,40,12,11,12,30,1,0,0,1,2,2,12,12,7.146772385
1832,40,97,38,12,16,1,36,1,0,0,1,1,2,8,12,7.513163567
909,40,102,34,12,14,5,33,1,0,0,1,3,3,12,7,6.812345028
1746,40,131,41,18,9,10,33,1,0,0,1,7,3,12,12,7.465082645
